"sitename","type","annual_1986","bare_1986","perennial_1986","shrub_1986","annual_1987","bare_1987","perennial_1987","shrub_1987","annual_1988","bare_1988","perennial_1988","shrub_1988","annual_1989","bare_1989","perennial_1989","shrub_1989","annual_1990","bare_1990","perennial_1990","shrub_1990","annual_1991","bare_1991","perennial_1991","shrub_1991","annual_1992","bare_1992","perennial_1992","shrub_1992","annual_1993","bare_1993","perennial_1993","shrub_1993","annual_1994","bare_1994","perennial_1994","shrub_1994","annual_1995","bare_1995","perennial_1995","shrub_1995","annual_1996","bare_1996","perennial_1996","shrub_1996","annual_1997","bare_1997","perennial_1997","shrub_1997","annual_1998","bare_1998","perennial_1998","shrub_1998","annual_1999","bare_1999","perennial_1999","shrub_1999","annual_2000","bare_2000","perennial_2000","shrub_2000","annual_2001","bare_2001","perennial_2001","shrub_2001","annual_2002","bare_2002","perennial_2002","shrub_2002","annual_2003","bare_2003","perennial_2003","shrub_2003","annual_2004","bare_2004","perennial_2004","shrub_2004","annual_2005","bare_2005","perennial_2005","shrub_2005","annual_2006","bare_2006","perennial_2006","shrub_2006","annual_2007","bare_2007","perennial_2007","shrub_2007","annual_2008","bare_2008","perennial_2008","shrub_2008","annual_2009","bare_2009","perennial_2009","shrub_2009","annual_2010","bare_2010","perennial_2010","shrub_2010","annual_2011","bare_2011","perennial_2011","shrub_2011","annual_2012","bare_2012","perennial_2012","shrub_2012","annual_2013","bare_2013","perennial_2013","shrub_2013","annual_2014","bare_2014","perennial_2014","shrub_2014","annual_2015","bare_2015","perennial_2015","shrub_2015","annual_2016","bare_2016","perennial_2016","shrub_2016","annual_2017","bare_2017","perennial_2017","shrub_2017","annual_2018","bare_2018","perennial_2018","shrub_2018","annual_2019","bare_2019","perennial_2019","shrub_2019","annual_2020","bare_2020","perennial_2020","shrub_2020","annual_2021","bare_2021","perennial_2021","shrub_2021","annual_2022","bare_2022","perennial_2022","shrub_2022","annual_2023","bare_2023","perennial_2023","shrub_2023","annual_2024","bare_2024","perennial_2024","shrub_2024"
"18750","occ_count",19.6299991607666,13.2200002670288,34.0999984741211,14.2200002670288,20.9400005340576,16.7700004577637,20.6399993896484,17.4899997711182,11.7700004577637,18.0699996948242,28.6200008392334,17.8099994659424,12.710000038147,15.5699996948242,39.3499984741211,15.1700000762939,6.69000005722046,22.5,32.0699996948242,15.1400003433228,8.19999980926514,21.9699993133545,31.3199996948242,16.75,11.4799995422363,22.4400005340576,31.7099990844727,14.7200002670288,14.6499996185303,17.1100006103516,35.1300010681152,14.1300001144409,9.06999969482422,16.9599990844727,39.1300010681152,14.7200002670288,33.8199996948242,10.8599996566772,30.8500003814697,9.67000007629395,35.310001373291,10.4300003051758,23.4699993133545,8.67000007629395,22.2399997711182,21.4099998474121,26.0400009155273,6.67999982833862,21.6100006103516,9.69999980926514,54.1100006103516,7.46999979019165,15.4899997711182,10.5,52.6699981689453,6.71999979019165,26.8099994659424,9.71000003814697,38.4099998474121,7.32999992370605,38.8499984741211,8.77000045776367,28.4200000762939,7.19999980926514,44.3699989318848,10.1599998474121,16.25,6.01000022888184,41.7700004577637,9.18000030517578,28.2399997711182,3.1800000667572,26.5200004577637,13.4099998474121,36.9799995422363,5.55000019073486,24.8600006103516,10.789999961853,41.9900016784668,8.73999977111816,27.0300006866455,9.71000003814697,45.939998626709,4.32000017166138,14.789999961853,18.8500003814697,38.5699996948242,5.3600001335144,13.0100002288818,18.6399993896484,43.9799995422363,6.48999977111816,18.9500007629395,17.8199996948242,32.4599990844727,12.460000038147,29.0300006866455,11.4499998092651,36.560001373291,9.60000038146973,38.6300010681152,6,35.2700004577637,6.76999998092651,40.9300003051758,6.96999979019165,25.4500007629395,4.69999980926514,29.7900009155273,11.3599996566772,19.5200004577637,2.5,39.060001373291,8.22999954223633,36.9099998474121,5.23999977111816,45.6300010681152,9.5600004196167,23.8500003814697,5.51999998092651,30.3400001525879,10.1700000762939,37.1800003051758,6.51000022888184,31.0200004577637,7.3600001335144,46.3499984741211,4.65999984741211,29.5,10.0500001907349,33.7700004577637,7.25,34.2200012207031,9.80000019073486,34.2099990844727,6.30000019073486,25.8500003814697,10.460000038147,35.9900016784668,9.84000015258789,11.8800001144409,15.7799997329712,39.2099990844727,14.7200002670288,24.3600006103516,9.59000015258789,36.3600006103516,11.8199996948242,28.5499992370605,9.03999996185303,29.2199993133545,11.9399995803833,37.0400009155273,4.57999992370605,39.5800018310547,8.8100004196167
"18763","occ_count",27.6700000762939,9.60000038146973,27.7299995422363,13.8699998855591,23.6700000762939,15.7600002288818,15.9099998474121,16.9500007629395,18.8899993896484,15.210000038147,25.2099990844727,16.5599994659424,18.7900009155273,13.3800001144409,34.5800018310547,14.75,10.1099996566772,20.5799999237061,28.1700000762939,14.5699996948242,15.6000003814697,15.1400003433228,30.5799999237061,14.1000003814697,18.4599990844727,21.5200004577637,21.1800003051758,14.9200000762939,24.1000003814697,15.3199996948242,30,13.460000038147,19.3099994659424,11.3900003433228,34.689998626709,12.5299997329712,48.6699981689453,7.1399998664856,22,8.25,45.310001373291,9.47999954223633,18.9200000762939,6.03999996185303,20.2800006866455,37,14.2200002670288,0.430000007152557,45.439998626709,14.2399997711182,22.1299991607666,1.5900000333786,44.8699989318848,9.73999977111816,28.0400009155273,2.60999989509583,48.2099990844727,4.59000015258789,28.4200000762939,2.21000003814697,64.6500015258789,5.82999992370605,10.9099998474121,1.78999996185303,59.0999984741211,8.60999965667725,2.38000011444092,0.860000014305115,65.1699981689453,5.80000019073486,9.0600004196167,1.16999995708466,49.3699989318848,8.97000026702881,19.3299999237061,1.46000003814697,55.7099990844727,7.23999977111816,18.1499996185303,3.53999996185303,48.9599990844727,7.98999977111816,26.6399993896484,1.83000004291534,37.0999984741211,10.7600002288818,25.7199993133545,2.25,31.4899997711182,13.7700004577637,24.0699996948242,3.45000004768372,25.3299999237061,14.25,28.7000007629395,8.78999996185303,48.2999992370605,6.8899998664856,27.8500003814697,4.53999996185303,51.7700004577637,3.5699999332428,26.25,4.13000011444092,47.5900001525879,6.23999977111816,21.75,1.77999997138977,29.6900005340576,11.0699996948242,19.9200000762939,1.23000001907349,42.9000015258789,10.3000001907349,30.3899993896484,2.58999991416931,46.2400016784668,11.0299997329712,24.9099998474121,3.25999999046326,36.4900016784668,12.7399997711182,26.7399997711182,2.21000003814697,34.2400016784668,12.6999998092651,27.3400001525879,1.78999996185303,36.3300018310547,15.5100002288818,22.4400005340576,3.6800000667572,43.0400009155273,11.2399997711182,26.2700004577637,3.10999989509583,29.6499996185303,11.75,36.4700012207031,5.8600001335144,12.0799999237061,14.0799999237061,41.4000015258789,10.6099996566772,25.3299999237061,10.8100004196167,33.8499984741211,10.2399997711182,37.0299987792969,7.71999979019165,24.7900009155273,8.84000015258789,50.1800003051758,3.25999999046326,28.9699993133545,5.44999980926514
"27137","occ_count",50.6500015258789,4.46999979019165,27.6499996185303,7.01999998092651,40.75,9.13000011444092,13.25,9.07999992370605,28.3199996948242,6.78999996185303,26.5699996948242,11.7799997329712,25.1299991607666,9.07999992370605,36.5999984741211,12.9799995422363,15.8100004196167,19.0900001525879,21.4200000762939,14.3199996948242,18.2900009155273,13.3800001144409,27.4599990844727,16.75,20.0799999237061,21.4099998474121,19.1700000762939,14.8000001907349,27.7199993133545,15.6800003051758,29.0599994659424,11.6899995803833,24.8600006103516,11.1800003051758,34.0299987792969,9.61999988555908,65.3099975585938,4.61999988555908,14.8999996185303,4.65000009536743,60.1800003051758,3.75,13.4700002670288,5.11999988555908,46.4700012207031,4.26000022888184,21.8700008392334,6.34999990463257,35.1699981689453,4.78000020980835,30.75,12.1499996185303,36.1199989318848,6.03999996185303,36.2000007629395,5.69999980926514,63.3400001525879,3,15.2399997711182,3.78999996185303,68.9000015258789,3.48000001907349,8.40999984741211,3.38000011444092,79.2399978637695,3.85999989509583,0.439999997615814,1.87000000476837,78.6500015258789,2.23000001907349,5.71999979019165,1.49000000953674,57.5400009155273,6.13000011444092,9.13000011444092,3.5,55.3800010681152,4.88000011444092,22.6299991607666,4.19999980926514,62.2200012207031,4.69999980926514,16.9599990844727,1.83000004291534,46.3899993896484,10.0699996948242,15.8500003814697,3.17000007629395,34.5099983215332,11.5600004196167,26.2800006866455,5.46000003814697,26.9599990844727,15.4300003051758,25.0200004577637,9,48.0200004577637,7.34000015258789,27.6399993896484,5.05000019073486,60.5699996948242,2.82999992370605,21.5,4.21000003814697,53.3800010681152,4.32999992370605,19.5300006866455,1.47000002861023,43.5499992370605,8.65999984741211,6.98000001907349,1.27999997138977,72.8199996948242,5.03999996185303,8.60000038146973,2.54999995231628,56.310001373291,8.78999996185303,14.789999961853,3.4300000667572,38.1699981689453,11.0500001907349,27.8700008392334,4.55000019073486,55.0299987792969,7.82000017166138,11.6000003814697,2.65000009536743,49.1800003051758,9.65999984741211,16.5900001525879,4.44999980926514,53.0200004577637,8.35000038146973,16.3199996948242,5.34000015258789,53.4199981689453,7.84999990463257,14.5900001525879,8.18000030517578,18.4599990844727,14.3999996185303,29.1299991607666,12.9899997711182,41.6599998474121,8.92000007629395,24.6900005340576,7.90999984741211,52.6800003051758,6.82999992370605,16.3999996185303,5.11999988555908,67.2799987792969,2.98000001907349,15.6999998092651,3.89000010490417
"27150","occ_count",29.5,7.3899998664856,32.2400016784668,13.1599998474121,28.6000003814697,12.0100002288818,16.0599994659424,13.4300003051758,17.7900009155273,11.6099996566772,26.2299995422363,18.3899993896484,17.1200008392334,12.0600004196167,37.2799987792969,16,18.3899993896484,15.1000003814697,24.4500007629395,19.0599994659424,13.3500003814697,12.9700002670288,33.1500015258789,19.7099990844727,14.9200000762939,22.1700000762939,23.9500007629395,16.3500003814697,23.5900001525879,16.0799999237061,32.2099990844727,12.4499998092651,25.3899993896484,10.4399995803833,35.8199996948242,10.5900001525879,57.75,4.96000003814697,19.4599990844727,5.57999992370605,54.3499984741211,3.85999989509583,17.8099994659424,6.32999992370605,41.939998626709,4.40999984741211,22.8999996185303,9.06999969482422,33.9199981689453,5.34999990463257,29.3500003814697,15.960000038147,33.1500015258789,5.73000001907349,39.5400009155273,6.82000017166138,52.2599983215332,4.51000022888184,20.7900009155273,6.5,71.3499984741211,3.42000007629395,6.46999979019165,4.8600001335144,72.25,5.03999996185303,2.90000009536743,3.69000005722046,69.5299987792969,3.54999995231628,11.0100002288818,3.19000005722046,43.9199981689453,7.19999980926514,17.0400009155273,7.23000001907349,38.4700012207031,4.94000005722046,29.4500007629395,9.05000019073486,55.810001373291,4.73000001907349,16.7999992370605,7.01999998092651,38.6800003051758,7.80000019073486,23.0100002288818,9.61999988555908,42.3499984741211,7.46000003814697,19.7199993133545,10.0799999237061,40.5,7.73999977111816,21.5499992370605,11.6199998855591,55.0499992370605,3.28999996185303,21.3700008392334,7.19999980926514,72.5400009155273,1.75,9.19999980926514,4.94000005722046,56.0200004577637,3.23000001907349,17.1399993896484,3.46000003814697,36.310001373291,7.76999998092651,15.6199998855591,1.4099999666214,68.8300018310547,3.48000001907349,16.5499992370605,4.15999984741211,63.7700004577637,5.57000017166138,15.1499996185303,3.42000007629395,58.4099998474121,5.48999977111816,19.9699993133545,2.82999992370605,71.4400024414062,4.09000015258789,5.73000001907349,0.889999985694885,66.5599975585938,5.65000009536743,7.80999994277954,2.61999988555908,81.0999984741211,2.35999989509583,0.319999992847443,0.850000023841858,82.5999984741211,3.53999996185303,1.87999999523163,2.36999988555908,31.9899997711182,9.25,24.3899993896484,10.1000003814697,62.3499984741211,5.07000017166138,9.09000015258789,8.55000019073486,55.2999992370605,6.98999977111816,10.7200002670288,7.40999984741211,37.1500015258789,4.61999988555908,38.6500015258789,8.10000038146973
"27163","occ_count",45.8899993896484,4.30000019073486,26.3500003814697,7.86999988555908,37.6300010681152,12.1000003814697,11.2700004577637,6.05999994277954,37,6.96999979019165,24.1800003051758,7.90000009536743,34.0900001525879,5.55000019073486,40.5,6.76000022888184,22.6100006103516,16.1599998474121,22.2199993133545,7.71000003814697,20.9899997711182,12.0299997329712,35.5699996948242,9.06999969482422,19.1299991607666,21.8700008392334,29.6100006103516,6.42999982833862,35.8699989318848,13.1599998474121,33.0299987792969,5.80000019073486,39.5699996948242,5.71999979019165,32.6800003051758,4.78000020980835,52.7000007629395,13.4300003051758,9.21000003814697,0.25,46.9700012207031,12.9700002670288,23.3899993896484,0.28999999165535,14.5699996948242,32.0099983215332,2.5,0.259999990463257,41.2700004577637,13.2799997329712,9.18000030517578,2.24000000953674,40.0999984741211,11.960000038147,23.4899997711182,2.38000011444092,45.7999992370605,7.44000005722046,28.4099998474121,1.79999995231628,53.5999984741211,9.57999992370605,14.7399997711182,1.37999999523163,61.0400009155273,10.3699998855591,7.88000011444092,1.13999998569489,51.560001373291,9.32999992370605,17.6599998474121,0.850000023841858,42.7000007629395,14.3400001525879,15.8500003814697,1.17999994754791,43.5999984741211,10.6300001144409,31.2099990844727,2.6800000667572,51.3300018310547,7.92000007629395,25.6299991607666,0.550000011920929,37.5299987792969,12.5699996948242,20.7800006866455,0.699999988079071,35.2099990844727,16.1900005340576,19.6100006103516,2.24000000953674,23.0799999237061,21.4599990844727,24.1800003051758,6.82000017166138,32.5999984741211,13.8900003433228,37.8199996948242,4.1100001335144,49.2000007629395,7.21000003814697,29.4099998474121,2.04999995231628,41.2099990844727,8.60999965667725,21.2800006866455,1.69000005722046,26.6399993896484,15.7600002288818,13.1300001144409,0.529999971389771,37.4300003051758,14.9399995803833,26.6100006103516,0.730000019073486,31.0100002288818,15.2600002288818,25.3299999237061,1.38999998569489,31.5400009155273,10.2600002288818,12.8400001525879,1.95000004768372,43.1699981689453,8.23999977111816,10.6099996566772,0.360000014305115,38.1699981689453,12.0900001525879,11.1099996566772,1.28999996185303,55.5699996948242,7.82999992370605,10.9200000762939,0.879999995231628,39.4099998474121,9.98999977111816,22.5799999237061,4.80000019073486,19.1700000762939,17.3899993896484,19.1900005340576,7.01000022888184,26.7000007629395,8.44999980926514,21.5,2.6800000667572,52.9900016784668,6.8899998664856,11.3999996185303,2.03999996185303,43.25,1.05999994277954,19.3199996948242,1.46000003814697
"27176","occ_count",50.3300018310547,7.8899998664856,24.3199996948242,4.13000011444092,48.439998626709,10.9399995803833,5.69000005722046,3.01999998092651,29.5599994659424,14.6300001144409,21.2700004577637,9.32999992370605,24.6499996185303,11.3500003814697,36.2400016784668,8.21000003814697,12.8800001144409,23.6299991607666,25.3299999237061,9.71000003814697,10.5500001907349,18.8099994659424,33.6199989318848,15.8400001525879,16.8999996185303,27.25,22.1599998474121,11.0299997329712,38.060001373291,14.2299995422363,27.6900005340576,6.46999979019165,31.9300003051758,9.30000019073486,32.7200012207031,6.90000009536743,42.4700012207031,19.3400001525879,12.9099998474121,0.150000005960464,45.1199989318848,8.23999977111816,22.5799999237061,0.170000001788139,61.7999992370605,8.47999954223633,14.9899997711182,1.91999995708466,46.9500007629395,11.75,20.7099990844727,4.59000015258789,24.8999996185303,17.1299991607666,37.8499984741211,1.17999994754791,33.6699981689453,12.8999996185303,33.2000007629395,0.970000028610229,55.8300018310547,11.0200004577637,11.8000001907349,0.550000011920929,42.8499984741211,17.8500003814697,4.36999988555908,0.469999998807907,48.0699996948242,10.9799995422363,21.7199993133545,1.55999994277954,21.6100006103516,15.6300001144409,36.2599983215332,2.51999998092651,33.7799987792969,13.1899995803833,29.0400009155273,5.55000019073486,38.5800018310547,11.4700002670288,35.4799995422363,2.07999992370605,20.7399997711182,17.5300006866455,34.8499984741211,3.86999988555908,15.9399995803833,23.3099994659424,29.2999992370605,2.5,16.3700008392334,21.7199993133545,26.6000003814697,8.85999965667725,24.6599998474121,18.6599998474121,35.0900001525879,7.71000003814697,35.3499984741211,7.55999994277954,38.75,5.59000015258789,34.939998626709,4.59999990463257,38,2.47000002861023,32.4199981689453,10.6000003814697,14.6899995803833,3.44000005722046,29.0699996948242,12.789999961853,30.7399997711182,9.01000022888184,17.1299991607666,17.0699996948242,36.1100006103516,9.19999980926514,16.5,17.7099990844727,31.7700004577637,9.31999969482422,27.8099994659424,13.0200004577637,40.0800018310547,6.5,26.0699996948242,15.4899997711182,24.5799999237061,10.3199996948242,23.8299999237061,13.1099996566772,34.9900016784668,12.6400003433228,14.6400003433228,13.2700004577637,31.7000007629395,15.4300003051758,12.0100002288818,15.3699998855591,27.1599998474121,17.0799999237061,20.9699993133545,14.1599998474121,24.2099990844727,15.9200000762939,20.7000007629395,15.6700000762939,18.7800006866455,8.61999988555908,30.0400009155273,5.71999979019165,45.4000015258789,6.96000003814697
"27189","occ_count",55.4700012207031,3.90000009536743,26.6599998474121,3.04999995231628,38.8400001525879,10.4799995422363,15.3199996948242,1.39999997615814,47.7700004577637,6.75,20.7099990844727,3.50999999046326,31.8099994659424,6.8600001335144,39.9700012207031,3.45000004768372,17.9799995422363,19.0499992370605,24.5499992370605,5.96000003814697,11.6599998474121,17.7900009155273,32.2299995422363,13.2799997329712,12.25,24.9899997711182,31.4500007629395,6,34.2999992370605,14.289999961853,35.0699996948242,5.13000011444092,33.2200012207031,7.90000009536743,32.2200012207031,3.77999997138977,69.9300003051758,3.14000010490417,11.289999961853,2.00999999046326,58.2200012207031,2.63000011444092,21.3899993896484,2.05999994277954,61.2799987792969,1.99000000953674,15.1999998092651,1.91999995708466,44.2799987792969,1.49000000953674,28.3299999237061,3.94000005722046,45.8899993896484,4.07999992370605,33.0200004577637,0.280000001192093,49.7299995422363,8.25,19.8299999237061,0.5,49.310001373291,10.8699998855591,13.8000001907349,1.76999998092651,50.7200012207031,12.3199996948242,9.73999977111816,0.180000007152557,43.1800003051758,9.02000045776367,25.6800003051758,1.50999999046326,30.3799991607666,16.3700008392334,28,1.23000001907349,35.7900009155273,12.5699996948242,29.3400001525879,3.46000003814697,46.5,9.5,28.8400001525879,2.40000009536743,27.2399997711182,14.5,26.8199996948242,3.41000008583069,17.1900005340576,20,27.3400001525879,2.26999998092651,30.4500007629395,15.6800003051758,24.8899993896484,5.07000017166138,39.2799987792969,10.5299997329712,25.1000003814697,6.15999984741211,52.560001373291,5.53000020980835,23.1599998474121,3.91000008583069,41.5900001525879,6.3899998664856,24.6200008392334,2.77999997138977,32.4099998474121,11.5900001525879,18.3400001525879,0.649999976158142,38.8899993896484,10.8900003433228,30.2099990844727,4.53000020980835,32.8499984741211,12.9099998474121,27.8299999237061,4.8899998664856,28.9300003051758,13.039999961853,27,4.21999979019165,39.5,9.39000034332275,31.0499992370605,5.38000011444092,42.5900001525879,9.97999954223633,18.2399997711182,5.6399998664856,38.4500007629395,10.3000001907349,24.2399997711182,6.09999990463257,27.0300006866455,9.28999996185303,34.5900001525879,7.86999988555908,24.9500007629395,10.0299997329712,26.3700008392334,8.8100004196167,38.7400016784668,8.43000030517578,21.5699996948242,9.93000030517578,34.5299987792969,11.2399997711182,21.7399997711182,10.5600004196167,48.689998626709,5.76000022888184,29.0699996948242,5.67000007629395
"34350","occ_count",42.439998626709,2.91000008583069,28.4099998474121,14.039999961853,35.5200004577637,8.78999996185303,15.8900003433228,14.1899995803833,27.5499992370605,5.19000005722046,23.0699996948242,15.710000038147,14.9399995803833,15.2299995422363,31.3600006103516,16.6200008392334,14.4300003051758,25.4799995422363,22.7199993133545,16.25,26.7099990844727,10.25,27.7900009155273,10.9700002670288,31.8199996948242,18.0799999237061,12.6700000762939,9.71000003814697,30.4599990844727,13.25,32.1300010681152,9.17000007629395,25.4500007629395,15.8400001525879,28.9200000762939,8.03999996185303,46.810001373291,8.14000034332275,23.6700000762939,4.13000011444092,38.5200004577637,15.7399997711182,20.2900009155273,2.15000009536743,14.2399997711182,42.5099983215332,17.4300003051758,0.0599999986588955,34.3800010681152,11.0200004577637,39.6199989318848,1.8400000333786,34.560001373291,15.8100004196167,21.6499996185303,1.17999994754791,38.0200004577637,13.5200004577637,29.2199993133545,2.38000011444092,47.5099983215332,11.5600004196167,20.8999996185303,1.75,42.25,17.0599994659424,11.2299995422363,1.32000005245209,41.9599990844727,14.0500001907349,23.1000003814697,2.09999990463257,36.7299995422363,17.4099998474121,17.7600002288818,1.28999996185303,49.9799995422363,10.6800003051758,27.0699996948242,1.07000005245209,55.0699996948242,8.84000015258789,21.4599990844727,1.21000003814697,27.4300003051758,18.0100002288818,24.0400009155273,2.10999989509583,26.4300003051758,19.2000007629395,26.4500007629395,1.75,20.3500003814697,27.8999996185303,25.6800003051758,5.57999992370605,31.4899997711182,14.1800003051758,40.3699989318848,2.39000010490417,54.5200004577637,5.36999988555908,28.1700000762939,1.58000004291534,49.6699981689453,6.8600001335144,19.4899997711182,1.5900000333786,41.1699981689453,9.94999980926514,10.5200004577637,0.170000001788139,47.6300010681152,11.3100004196167,24.7099990844727,1.75,31.4200000762939,15.1400003433228,34.7400016784668,2.27999997138977,31.3899993896484,13.789999961853,23.7399997711182,2.49000000953674,50.2299995422363,10.8800001144409,12.6000003814697,0.629999995231628,39.9700012207031,10.3500003814697,9.8100004196167,1.27999997138977,46.439998626709,9.82999992370605,4.48999977111816,0.819999992847443,47.8300018310547,12.8699998855591,20.2099990844727,3.60999989509583,14.6700000762939,21.6299991607666,32.2999992370605,8.82999992370605,26.9699993133545,16.8899993896484,29.4099998474121,7.65000009536743,31.9099998474121,16.6399993896484,21.2900009155273,5.55000019073486,42.1800003051758,3.25,14.0799999237061,2.11999988555908
"34363","occ_count",22.0100002288818,9.43000030517578,26.1599998474121,16.75,20.3899993896484,16.2700004577637,17.1499996185303,19.7600002288818,15.2200002670288,14.5200004577637,22,19.3899993896484,10.2200002670288,21.6700000762939,29.4599990844727,16.0400009155273,9.56999969482422,35.1500015258789,16.4500007629395,16.7800006866455,13.8500003814697,24.1900005340576,21.8199996948242,18.2700004577637,13.1099996566772,31.1299991607666,14.1499996185303,17.5200004577637,23.9699993133545,20.6499996185303,23.7399997711182,12.6899995803833,12.8299999237061,23.1399993896484,30.5699996948242,12.3500003814697,38.0499992370605,10.8999996185303,33.8199996948242,6.5,41.8800010681152,13.5799999237061,21.7099990844727,2.98000001907349,10.8900003433228,52.0800018310547,10.8100004196167,0.0199999995529652,24.9799995422363,20.4099998474121,30.3799991607666,2.47000002861023,12.6599998474121,27.7099990844727,18.0499992370605,2.59999990463257,30.0400009155273,26.2999992370605,21.2900009155273,6.09999990463257,37.5800018310547,17.7299995422363,20.5799999237061,4.96999979019165,18.5,37.689998626709,13.25,3.13000011444092,34.5200004577637,22.8099994659424,17.2099990844727,3.71000003814697,25.7099990844727,26.4200000762939,14.6999998092651,8.01000022888184,37.8800010681152,13.9700002670288,28.9400005340576,3.66000008583069,46.0200004577637,14.9300003051758,17.8099994659424,3.10999989509583,25.5100002288818,22.3899993896484,24.8799991607666,4.01000022888184,17.3099994659424,28.9799995422363,23.1499996185303,4.61999988555908,26.25,31.5599994659424,17.2000007629395,6.05999994277954,34.75,18.8400001525879,25.1100006103516,4.48000001907349,48.5099983215332,6.90999984741211,26.8299999237061,0.680000007152557,48.4900016784668,7.71999979019165,26.1399993896484,1.02999997138977,28.7999992370605,16.6599998474121,13.1199998855591,1.22000002861023,37.3699989318848,16.5599994659424,23.2700004577637,3.49000000953674,24.6900005340576,18.2199993133545,34.5800018310547,2.74000000953674,26.3700008392334,16.7000007629395,18.9899997711182,2.70000004768372,44,15.5,10.1700000762939,1.49000000953674,36.8499984741211,15.1000003814697,14.0500001907349,3.33999991416931,35.3499984741211,17.5799999237061,23.4500007629395,4.53999996185303,23.0900001525879,18.7199993133545,32.1500015258789,6.55999994277954,11.8400001525879,25.2900009155273,29.3899993896484,9.23999977111816,16.3899993896484,22.3600006103516,30.8600006103516,8.42000007629395,19.75,22.8700008392334,24.6499996185303,6.07999992370605,35.5299987792969,5.09000015258789,18.4799995422363,1.60000002384186
"34376","occ_count",26.7299995422363,8.80000019073486,28.3999996185303,16.2800006866455,24.5900001525879,13.5799999237061,18.3500003814697,17.6000003814697,21.2299995422363,11.6899995803833,22.6900005340576,14.5299997329712,11.0299997329712,15.8400001525879,34.7000007629395,15.8100004196167,9.53999996185303,22,24.0499992370605,19.1900005340576,10.8100004196167,17.1200008392334,27.7700004577637,19.1200008392334,10.8699998855591,26.7700004577637,21.7700004577637,17.7099990844727,25.7700004577637,15.3199996948242,31.7399997711182,11.0299997329712,19.3600006103516,36.7700004577637,20.1599998474121,1.79999995231628,41.0099983215332,21.6900005340576,33.1199989318848,0,48.310001373291,16.0300006866455,14.3000001907349,0,19.9099998474121,36.4000015258789,25.75,0.0299999993294477,13.8800001144409,24.9799995422363,47.5900001525879,3.3199999332428,4.32999992370605,35.7000007629395,39.9000015258789,6.21999979019165,4.69000005722046,32.8300018310547,38.4500007629395,7.55000019073486,13.4700002670288,27.25,37.1699981689453,5.78000020980835,10.5299997329712,41.1199989318848,21.0400009155273,5.42999982833862,28.2700004577637,21.7700004577637,32.1800003051758,1.8400000333786,15.3199996948242,28.8500003814697,26.1100006103516,3.96000003814697,13.960000038147,26.3700008392334,34.6599998474121,7.61999988555908,11.8800001144409,24.6900005340576,44.0499992370605,4.73000001907349,7.59999990463257,31.8799991607666,33.7599983215332,5.71000003814697,14.1999998092651,30.7999992370605,28.8600006103516,6.23999977111816,11.8800001144409,34.8400001525879,22.4200000762939,9.64000034332275,12.789999961853,33.7099990844727,28.3700008392334,9.6899995803833,21.3400001525879,16.2999992370605,47.5900001525879,5.59000015258789,18.3500003814697,15.0100002288818,35.2799987792969,6.38000011444092,12.4499998092651,28.0499992370605,20.6499996185303,4.46999979019165,10.0200004577637,30.5499992370605,32.0200004577637,6.73000001907349,8.53999996185303,26.1599998474121,28.1299991607666,7.51000022888184,11.3999996185303,20.9799995422363,31.0300006866455,5.90000009536743,15.5799999237061,21.1399993896484,34.5499992370605,5.92999982833862,20.3700008392334,24.6200008392334,21.0799999237061,8.5600004196167,28.5300006866455,19.9599990844727,24.6000003814697,8.17000007629395,12.1999998092651,25.7399997711182,33.6100006103516,7.11999988555908,12.1300001144409,24.3099994659424,34.7799987792969,10.5600004196167,15.0100002288818,22.7900009155273,36.2000007629395,8.14999961853027,16.7700004577637,23.7700004577637,20.8299999237061,6.26999998092651,35.2299995422363,7.8600001335144,42.1300010681152,3.32999992370605
